step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
375,CASH_OUT,537796.63,C988799510,332.0,0.0,C162396072,1422241.68,1960038.31,0,0
83,TRANSFER,594577.22,C2038871800,594577.22,0.0,C699011744,0.0,0.0,1,0
280,PAYMENT,5484.05,C389155531,142506.0,137021.95,M737105883,0.0,0.0,0,0
359,CASH_IN,256807.85,C1043297247,4730944.21,4987752.06,C1870563315,982454.46,725646.6,0,0
37,CASH_IN,598500.88,C1364179333,3671539.85,4270040.73,C25366193,831014.24,232513.36,0,0
393,PAYMENT,29739.11,C873589684,0.0,0.0,M869803321,0.0,0.0,0,0
40,CASH_OUT,35813.37,C2010037048,0.0,0.0,C1280442326,284443.0,320256.37,0,0
235,CASH_OUT,242062.47,C1052094674,11311.0,0.0,C1979858634,0.0,242062.47,0,0
41,TRANSFER,581889.94,C518343264,581889.94,0.0,C596058183,0.0,0.0,1,0
212,CASH_IN,31674.79,C956636266,559.0,32233.79,C2133384710,7101951.31,7070276.52,0,0
399,CASH_IN,168548.74,C1793744562,2561837.67,2730386.41,C1389960847,1703851.16,1535302.42,0,0
254,PAYMENT,11303.73,C1556552458,294252.0,282948.27,M89795381,0.0,0.0,0,0
190,CASH_OUT,265747.73,C2046465313,265747.73,0.0,C1929273714,0.0,265747.73,1,0
40,PAYMENT,22392.85,C524657570,10143.0,0.0,M377974817,0.0,0.0,0,0
14,CASH_IN,127180.01,C86043151,256833.25,384013.26,C1291052452,6687957.5,6676727.62,0,0
206,CASH_OUT,448136.73,C1170984262,496027.91,47891.17,C1531287078,1160957.01,1609093.74,0,0
602,CASH_OUT,1976666.45,C286962871,1976666.45,0.0,C1066958378,0.0,1976666.45,1,0
208,CASH_OUT,183485.93,C1562174256,22008.0,0.0,C1353676214,199482.34,382968.27,0,0
349,CASH_OUT,637465.2,C1699237097,19960.0,0.0,C978178035,0.0,637465.2,0,0
230,PAYMENT,9977.46,C1555911914,573738.04,563760.58,M1416673733,0.0,0.0,0,0
180,CASH_IN,8982.45,C409869768,10395541.03,10404523.47,C1687045124,198093.38,189110.94,0,0
183,CASH_IN,206562.92,C280219151,3436982.36,3643545.28,C1239476123,212914.27,6351.35,0,0
380,CASH_OUT,522496.89,C183278590,0.0,0.0,C41798828,2822201.0,3344697.89,0,0
405,CASH_OUT,269472.43,C1268980637,0.0,0.0,C381589973,449864.29,719336.72,0,0
322,PAYMENT,46924.26,C1258230405,444000.62,397076.36,M1160082224,0.0,0.0,0,0
335,PAYMENT,23414.64,C964553303,6856.03,0.0,M988227631,0.0,0.0,0,0
353,PAYMENT,11080.01,C309396822,0.0,0.0,M1730109313,0.0,0.0,0,0
235,CASH_OUT,180824.85,C1050290931,0.0,0.0,C1247998977,311463.38,492288.23,0,0
398,TRANSFER,404449.59,C93798451,90071.0,0.0,C1635843846,25924.91,430374.51,0,0
14,CASH_IN,694804.43,C1831974928,9711150.46,10405954.88,C308484865,1518234.94,1238287.52,0,0
299,CASH_IN,253842.36,C1843597193,99894.0,353736.36,C1403151964,0.0,0.0,0,0
38,CASH_OUT,281738.13,C583840447,0.0,0.0,C1435763389,4976668.36,5258406.49,0,0
13,CASH_OUT,380468.39,C1936194867,13204.0,0.0,C703876530,0.0,380468.39,0,0
564,TRANSFER,1624598.87,C358667921,0.0,0.0,C1649389360,11370765.89,12995364.76,0,0
697,CASH_OUT,1226390.31,C1387290846,1226390.31,0.0,C2032479397,203175.25,1429565.56,1,0
326,CASH_OUT,174850.88,C976502261,20816.0,0.0,C693125820,437778.59,612629.47,0,0
227,CASH_OUT,41885.5,C610108195,0.0,0.0,C1710325293,45729.37,87614.87,0,0
139,CASH_OUT,506995.12,C1921062144,0.0,0.0,C1556270214,2514221.34,3021216.46,0,0
8,TRANSFER,371732.09,C1738267135,22667.62,0.0,C1491213790,1679978.85,2051710.94,0,0
235,CASH_OUT,73045.28,C14543283,162.0,0.0,C1365389855,0.0,73045.28,0,0
19,PAYMENT,6320.1,C2069940905,769754.42,763434.32,M242440068,0.0,0.0,0,0
132,TRANSFER,687252.09,C1681307185,19964.0,0.0,C917335525,73777.14,761029.23,0,0
324,CASH_OUT,285143.18,C136996167,6460.0,0.0,C709802017,87870.7,373013.88,0,0
347,CASH_OUT,18229.58,C1372422681,33050.0,14820.42,C781804768,847291.42,865521.01,0,0
9,TRANSFER,1667586.88,C2110170498,51573.0,0.0,C530216580,87684.69,1520133.27,0,0
379,CASH_IN,19397.88,C316403056,12023.0,31420.88,C242298647,203299.37,183901.49,0,0
157,PAYMENT,16595.89,C807498510,0.0,0.0,M572904792,0.0,0.0,0,0
42,PAYMENT,885.14,C822865010,553896.29,553011.15,M125131831,0.0,0.0,0,0
129,CASH_OUT,20181.3,C1400722959,115024.0,94842.7,C900098175,1536035.75,1537692.97,0,0
140,TRANSFER,150871.46,C1131916326,0.0,0.0,C838036946,474986.99,625858.45,0,0
179,CASH_OUT,286149.98,C2061411554,115.0,0.0,C1988892652,808422.26,1094572.24,0,0
356,PAYMENT,14238.76,C1879386265,8080.0,0.0,M1695547358,0.0,0.0,0,0
276,CASH_OUT,7832.09,C1262668971,0.0,0.0,C615238056,427319.08,435151.17,0,0
202,PAYMENT,18431.37,C2029147678,16878.0,0.0,M544707085,0.0,0.0,0,0
285,PAYMENT,34468.86,C737622495,4148.09,0.0,M232355842,0.0,0.0,0,0
356,PAYMENT,17350.14,C1199602622,28920.93,11570.79,M928393470,0.0,0.0,0,0
39,CASH_IN,29907.8,C1874823766,40181.0,70088.8,C86567829,93885.0,37131.98,0,0
46,PAYMENT,5128.41,C513813058,254980.0,249851.59,M614383518,0.0,0.0,0,0
40,CASH_IN,252737.08,C178698674,17989.0,270726.08,C1774661306,0.0,0.0,0,0
302,CASH_OUT,262144.97,C1394271872,0.0,0.0,C1354702261,1543880.95,1806025.93,0,0
234,PAYMENT,31800.59,C862482572,7902.0,0.0,M2124220112,0.0,0.0,0,0
234,TRANSFER,636344.37,C458364355,0.0,0.0,C1997096636,1706090.51,2342434.88,0,0
405,CASH_OUT,199952.03,C22818654,0.0,0.0,C1079208050,1863627.42,2063579.45,0,0
12,CASH_OUT,490185.03,C259947570,888468.48,398283.45,C2090261698,114740.63,307979.17,0,0
260,PAYMENT,3361.14,C1510799617,0.0,0.0,M852248396,0.0,0.0,0,0
22,PAYMENT,18052.72,C1025370187,0.0,0.0,M165792780,0.0,0.0,0,0
137,PAYMENT,43075.24,C538382856,0.0,0.0,M1550972204,0.0,0.0,0,0
327,CASH_OUT,333452.86,C1812646647,839.0,0.0,C171327202,41131.92,374584.78,0,0
155,CASH_IN,100862.24,C1966790403,105803.0,206665.24,C1068770657,21344.0,0.0,0,0
375,CASH_OUT,100660.95,C387111566,0.0,0.0,C8913241,172181.73,272842.68,0,0
187,CASH_IN,176028.05,C870952819,8214520.15,8390548.2,C739835763,209760.96,33732.9,0,0
18,CASH_IN,68665.93,C2126971661,8171033.95,8239699.88,C627509762,812274.7,743608.77,0,0
259,CASH_IN,242931.62,C201330889,151.0,243082.62,C1305001176,65695.91,0.0,0,0
327,CASH_OUT,288702.56,C2041851731,189500.5,0.0,C370398363,342428.47,631131.02,0,0
132,PAYMENT,24853.12,C343190841,6653.6,0.0,M1997736216,0.0,0.0,0,0
185,CASH_IN,305598.82,C534879432,183430.0,489028.82,C2073851633,3064074.04,2758475.22,0,0
12,PAYMENT,9864.06,C241409836,135228.68,125364.61,M1303417528,0.0,0.0,0,0
35,PAYMENT,17303.96,C356970118,374.0,0.0,M1737005833,0.0,0.0,0,0
16,CASH_OUT,59824.67,C604404059,0.0,0.0,C1212479311,541037.43,600862.11,0,0
14,CASH_OUT,138290.35,C765633430,229095.09,90804.74,C691404076,5568879.38,5707169.73,0,0
325,CASH_OUT,177997.66,C624900142,0.0,0.0,C1586005252,1018321.7,1196319.36,0,0
210,CASH_OUT,72342.42,C1373787220,157624.0,85281.58,C1710161916,0.0,72342.42,0,0
237,PAYMENT,2620.49,C1586447383,10435.0,7814.51,M831605009,0.0,0.0,0,0
355,PAYMENT,3695.47,C1799746606,0.0,0.0,M357539936,0.0,0.0,0,0
15,CASH_IN,218712.67,C1633140448,36559.0,255271.67,C794873386,3768884.54,3550171.87,0,0
166,CASH_IN,186719.44,C671005497,159.0,186878.44,C1237350967,0.0,0.0,0,0
334,PAYMENT,26103.56,C376238964,40671.0,14567.44,M870862898,0.0,0.0,0,0
328,DEBIT,31920.26,C1348800933,14551.0,0.0,C1750529696,5848619.9,5880540.16,0,0
41,PAYMENT,15897.57,C1451191301,38430.0,22532.43,M1344689686,0.0,0.0,0,0
350,CASH_IN,76777.89,C1115202264,1573.0,78350.89,C467038767,6052171.39,5975393.5,0,0
596,CASH_OUT,197051.02,C898019634,0.0,0.0,C3973051,689608.11,886659.14,0,0
304,TRANSFER,1843632.29,C858540939,57272.0,0.0,C1232916366,54508.68,1898140.98,0,0
34,TRANSFER,544202.04,C2139572153,16864.0,0.0,C2105694114,0.0,544202.04,0,0
688,CASH_IN,309053.47,C760450664,37070.0,346123.47,C2014938261,215043.36,0.0,0,0
351,CASH_OUT,18082.82,C1292319735,9047.0,0.0,C2109206911,394389.02,412471.83,0,0
183,CASH_OUT,153560.34,C1184451957,0.0,0.0,C1608735206,488968.75,642529.09,0,0
298,PAYMENT,72235.36,C746401571,11576.0,0.0,M1592055405,0.0,0.0,0,0
21,PAYMENT,5393.97,C363901704,0.0,0.0,M2092733706,0.0,0.0,0,0
140,PAYMENT,3100.81,C1028165711,299975.0,296874.19,M1758907851,0.0,0.0,0,0
252,PAYMENT,52481.57,C1783050468,101085.23,48603.66,M1210900527,0.0,0.0,0,0
255,CASH_OUT,228489.07,C74933712,0.0,0.0,C1817329061,1519317.92,1747806.99,0,0
490,CASH_OUT,127670.53,C1283968305,73270.0,0.0,C2077701384,0.0,127670.53,0,0
136,PAYMENT,9094.49,C913849813,0.0,0.0,M316918473,0.0,0.0,0,0
15,CASH_IN,53230.73,C938400829,895081.62,948312.35,C360966517,7015146.49,6961915.77,0,0
33,CASH_OUT,67092.38,C2099992354,0.0,0.0,C383450383,257602.81,324695.19,0,0
208,CASH_IN,429033.34,C1668733907,449.0,429482.34,C1795647515,217084.64,0.0,0,0
162,CASH_IN,193131.8,C1100067225,455460.72,648592.52,C652323210,1056363.69,1093377.84,0,0
270,TRANSFER,134623.95,C1664606481,134623.95,0.0,C1000039615,0.0,0.0,1,0
12,TRANSFER,506591.47,C663505369,0.0,0.0,C312537393,6123036.81,6629628.27,0,0
329,TRANSFER,810328.15,C735471728,152792.0,0.0,C2045682638,0.0,810328.15,0,0
426,PAYMENT,582.77,C166963227,0.0,0.0,M404716571,0.0,0.0,0,0
262,TRANSFER,201281.36,C1271087457,201281.36,0.0,C1017401472,0.0,0.0,1,0
179,CASH_IN,141256.58,C354581546,26316.0,167572.58,C1685703976,9177524.56,9036267.98,0,0
136,CASH_IN,198160.6,C1067069542,395618.38,593778.98,C1748725857,2608639.97,2410479.37,0,0
689,CASH_OUT,2163012.63,C1593930308,2163012.63,0.0,C1515597867,0.0,2163012.63,1,0
546,CASH_OUT,97326.39,C293639029,0.0,0.0,C1090620820,5393178.1,5490504.48,0,0
257,CASH_OUT,38744.54,C1793239196,15823.0,0.0,C1467821593,4670736.71,4709481.25,0,0
178,CASH_IN,313523.68,C1357526537,314408.0,627931.68,C731099148,67722.7,0.0,0,0
283,CASH_IN,113561.2,C1879880179,105110.0,218671.2,C1071907929,6733026.34,6619465.14,0,0
589,PAYMENT,4247.26,C1956383111,0.0,0.0,M431757756,0.0,0.0,0,0
181,CASH_IN,329268.3,C133223442,3374440.46,3703708.77,C372981376,770936.67,441668.37,0,0
159,PAYMENT,4936.55,C308712050,0.0,0.0,M1760767768,0.0,0.0,0,0
44,PAYMENT,1932.32,C739438270,0.0,0.0,M471408876,0.0,0.0,0,0
298,PAYMENT,7453.92,C1067607163,0.0,0.0,M2086002765,0.0,0.0,0,0
255,CASH_OUT,182402.89,C1020081092,203481.0,21078.11,C2094964347,109879.04,292281.93,0,0
202,CASH_IN,146199.27,C378187749,2924387.52,3070586.78,C286752927,345704.66,199505.39,0,0
687,CASH_IN,83389.72,C1123936021,1163768.26,1247157.98,C719454631,495523.65,412133.93,0,0
251,CASH_IN,307229.27,C1867471421,22590.0,329819.27,C983503159,630157.62,322928.36,0,0
490,CASH_OUT,1927403.83,C630013429,1927403.83,0.0,C1658435128,0.0,1927403.83,1,0
327,CASH_OUT,210797.15,C1521103931,25227.0,0.0,C1565954703,544623.23,755420.38,0,0
233,CASH_IN,222391.31,C324301062,222899.7,445291.0,C227084820,831290.75,608899.44,0,0
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
345,PAYMENT,30293.83,C1572606778,1637.0,0.0,M1867297854,0.0,0.0,0,0
396,CASH_OUT,204220.91,C2045903188,0.0,0.0,C232788455,1108644.07,1312864.98,0,0
20,CASH_IN,89068.41,C1718185508,14740.0,103808.41,C1765616902,2990615.54,2901547.13,0,0
401,CASH_OUT,130643.92,C1165998370,0.0,0.0,C191726447,178812.26,309456.18,0,0
581,TRANSFER,155002.83,C1691713014,155002.83,0.0,C71357990,0.0,0.0,1,0
162,CASH_IN,477668.99,C1018293244,2102724.21,2580393.2,C1397413501,4635470.98,4157801.98,0,0
159,PAYMENT,7620.23,C1428118845,0.0,0.0,M73122442,0.0,0.0,0,0
301,CASH_OUT,304894.71,C825000143,53828.0,0.0,C1793360787,31574.97,336469.69,0,0
546,CASH_IN,154068.15,C1263392235,52141.0,206209.15,C859072649,0.0,0.0,0,0
178,CASH_IN,223982.0,C1420957751,540.0,224522.0,C2015873709,47833.81,0.0,0,0
163,CASH_IN,96497.43,C1588569595,82278.0,178775.43,C394484201,12341737.9,12245240.47,0,0
182,CASH_OUT,108079.29,C1768002736,0.0,0.0,C758365905,3066910.71,3174989.99,0,0
587,CASH_OUT,291443.87,C495056326,0.0,0.0,C1258728452,320823.73,612267.61,0,0
538,CASH_OUT,2136099.59,C615843583,2136099.59,0.0,C634573611,466582.86,2602682.46,1,0
404,TRANSFER,10000000.0,C2023224715,12754759.04,2754759.04,C1730830963,0.0,0.0,1,0
14,CASH_OUT,211944.8,C1177681809,0.0,0.0,C1261329785,612789.09,973178.29,0,0
375,PAYMENT,27016.57,C1553756764,215.0,0.0,M785413930,0.0,0.0,0,0
393,TRANSFER,2720932.43,C1874272003,28509.0,0.0,C1365485710,206556.84,2927489.27,0,0
16,PAYMENT,3608.4,C1455235670,0.0,0.0,M776421962,0.0,0.0,0,0
258,CASH_OUT,132911.41,C979280636,19846.0,0.0,C1261127555,238036.52,370947.93,0,0
154,PAYMENT,6026.21,C800144961,0.0,0.0,M1727424826,0.0,0.0,0,0
308,CASH_OUT,152196.32,C1985714348,0.0,0.0,C1942942305,935387.48,1087583.8,0,0
39,CASH_IN,292186.46,C1445522748,14359829.03,14652015.49,C1236580891,1629518.18,1337331.72,0,0
19,CASH_OUT,5347.02,C2095400292,0.0,0.0,C1206292038,219068.29,224415.3,0,0
33,CASH_OUT,456190.27,C199828765,3164.0,0.0,C1245460529,1363322.87,1819513.14,0,0
328,CASH_OUT,148278.59,C2061974333,0.0,0.0,C124679985,559236.84,707515.43,0,0
21,CASH_OUT,119155.14,C1220303884,0.0,0.0,C67990421,797793.95,838228.14,0,0
252,CASH_IN,105174.42,C1872756644,2729169.0,2834343.43,C2114229585,327834.23,222659.81,0,0
397,CASH_OUT,70622.64,C869834696,0.0,0.0,C7760531,644400.31,715022.95,0,0
381,PAYMENT,10319.03,C159951778,101429.0,91109.97,M850728742,0.0,0.0,0,0
376,TRANSFER,1722281.2,C1289460271,12675.0,0.0,C1961345408,2415040.87,4137322.07,0,0
301,CASH_OUT,116674.98,C1442704731,42911.0,0.0,C1601728775,127442.23,244117.21,0,0
157,CASH_IN,78440.44,C425763910,15301.0,93741.44,C1639504554,141742.84,63302.4,0,0
163,PAYMENT,2442.96,C923060516,1535.0,0.0,M1672766986,0.0,0.0,0,0
156,PAYMENT,23402.08,C6192698,44418.95,21016.87,M13087109,0.0,0.0,0,0
94,PAYMENT,16277.14,C1134156005,3161.0,0.0,M1245062351,0.0,0.0,0,0
370,CASH_IN,331171.58,C1984370045,14566868.49,14898040.06,C36834724,3759890.32,3428718.74,0,0
372,CASH_IN,27853.7,C1572032278,1997374.83,2025228.53,C1992278831,174577.09,146723.39,0,0
236,CASH_IN,57744.19,C1071065975,13624909.02,13682653.22,C1858669452,584305.11,526560.91,0,0
526,CASH_IN,215391.9,C1450084558,20340.0,235731.9,C1346654057,479509.81,264117.91,0,0
230,CASH_OUT,193519.18,C1970295166,52108.0,0.0,C1898155619,175470.84,368990.02,0,0
128,CASH_OUT,3062506.58,C1347372630,3062506.58,0.0,C1738146204,0.0,3062506.58,1,0
203,PAYMENT,9637.2,C342895615,30967.0,21329.8,M359127243,0.0,0.0,0,0
252,CASH_OUT,46066.65,C1297412748,0.0,0.0,C694605204,316347.33,362413.97,0,0
686,CASH_OUT,1637875.33,C1616830000,1637875.33,0.0,C682431891,2042965.58,3680840.92,1,0
44,PAYMENT,14091.58,C417979181,10116.0,0.0,M419023084,0.0,0.0,0,0
278,CASH_OUT,3167.66,C1593272099,62536.0,59368.34,C1641185696,0.0,0.0,0,0
133,CASH_IN,139692.18,C382463809,6079583.68,6219275.85,C664757907,1271021.2,1131329.03,0,0
608,CASH_OUT,4716307.48,C672433047,4716307.48,0.0,C1424729422,0.0,4716307.48,1,0
380,CASH_OUT,221451.15,C534158887,0.0,0.0,C444451345,1850634.18,2072085.33,0,0
350,CASH_OUT,330741.6,C1942100445,185.0,0.0,C1431115701,1122731.92,1453473.53,0,0
349,PAYMENT,1064.79,C1793761678,0.0,0.0,M861175567,0.0,0.0,0,0
278,CASH_OUT,345154.55,C602843669,595803.0,250648.45,C1599476895,0.0,345154.55,0,0
250,CASH_OUT,189509.3,C1134941235,1789.0,0.0,C1429206644,158936.12,348445.42,0,0
129,PAYMENT,4892.22,C823055585,0.0,0.0,M1871726030,0.0,0.0,0,0
139,CASH_OUT,173948.75,C1909527577,0.0,0.0,C13627188,6293051.78,6467000.53,0,0
131,CASH_OUT,286961.06,C2085174348,0.0,0.0,C1478642183,429986.88,716947.94,0,0
206,CASH_IN,188861.2,C536802867,20885501.84,21074363.04,C1691357367,553331.61,364470.41,0,0
326,CASH_OUT,63428.71,C1888390468,1035.0,0.0,C302902142,1941621.39,2005050.1,0,0
401,CASH_OUT,139135.38,C670837978,0.0,0.0,C1102056433,2334686.07,2473821.45,0,0
43,CASH_OUT,259944.7,C550487154,30161.0,0.0,C15533070,57942.52,91599.92,0,0
378,PAYMENT,15565.36,C1465127270,312400.64,296835.28,M1067340784,0.0,0.0,0,0
210,CASH_OUT,101840.36,C141041742,0.0,0.0,C579234373,392122.92,493963.27,0,0
300,CASH_IN,155606.14,C1876815508,18533400.9,18689007.04,C722811102,4632237.85,4476631.71,0,0
208,CASH_OUT,271978.46,C1279469499,176.0,0.0,C249822251,4691580.55,4963559.01,0,0
522,CASH_IN,89506.86,C1037807319,7236.79,96743.65,C450161396,1259288.4,1169781.55,0,0
396,CASH_OUT,357959.44,C1724309679,206.0,0.0,C440981795,3337586.96,3695546.4,0,0
139,CASH_IN,288268.04,C827701716,50188.0,338456.04,C325080982,1664731.73,1376463.69,0,0
303,PAYMENT,16188.15,C728577614,25548.47,9360.32,M239933767,0.0,0.0,0,0
141,PAYMENT,3844.42,C1562103626,1730.0,0.0,M614363123,0.0,0.0,0,0
690,CASH_OUT,3574316.05,C438537495,3574316.05,0.0,C2102646541,260882.71,3835198.77,1,0
157,PAYMENT,1529.61,C333960312,213178.62,211649.01,M1242937456,0.0,0.0,0,0
278,PAYMENT,12080.49,C819063557,0.0,0.0,M1771786282,0.0,0.0,0,0
20,PAYMENT,7569.88,C20880685,0.0,0.0,M1923360778,0.0,0.0,0,0
201,PAYMENT,7566.57,C191022874,104585.0,97018.43,M1425519843,0.0,0.0,0,0
277,CASH_OUT,112636.97,C824160459,1202.66,0.0,C782860253,152238.71,264875.68,0,0
133,CASH_IN,109425.81,C1268802260,607223.26,716649.06,C831074981,3058230.36,2948804.55,0,0
205,PAYMENT,3763.92,C2102169446,319646.97,315883.05,M1272215451,0.0,0.0,0,0
207,TRANSFER,1168705.73,C402188877,0.0,0.0,C1823101747,8493200.65,11487227.0,0,0
351,PAYMENT,5316.98,C1731264538,455270.12,449953.15,M1003483593,0.0,0.0,0,0
140,CASH_OUT,212351.5,C960154388,49043.0,0.0,C561179380,0.0,212351.5,0,0
420,CASH_OUT,1464160.5,C2024056212,1464160.5,0.0,C1653697681,462739.95,1926900.44,1,0
359,PAYMENT,5435.33,C1511172664,140330.44,134895.11,M1485430795,0.0,0.0,0,0
404,CASH_OUT,208414.1,C1170805595,0.0,0.0,C2084782836,499109.86,707523.96,0,0
206,PAYMENT,7821.57,C873214337,0.0,0.0,M103565633,0.0,0.0,0,0
256,CASH_IN,246751.14,C655407021,296065.36,542816.49,C2006876326,2045273.41,1798522.28,0,0
164,CASH_IN,125901.09,C16001794,2334.0,128235.09,C995067504,0.0,0.0,0,0
400,TRANSFER,1492418.21,C25036010,0.0,0.0,C1334305123,6401237.15,7893655.36,0,0
382,CASH_IN,174460.67,C1834473109,8473056.88,8647517.55,C2127533861,1181371.24,1006910.57,0,0
185,CASH_IN,367620.12,C337829048,221664.0,589284.12,C1894799819,0.0,0.0,0,0
187,CASH_OUT,856386.66,C1887925622,856386.66,0.0,C128909445,256445.98,1112832.65,1,0
180,PAYMENT,23280.16,C540827195,0.0,0.0,M994595355,0.0,0.0,0,0
163,CASH_IN,229653.54,C1953376559,647572.51,877226.05,C1528868224,2704783.43,2475129.89,0,0
304,CASH_IN,99235.81,C97680006,6754788.99,6854024.8,C2063638993,1069071.54,969835.73,0,0
565,PAYMENT,12682.41,C68792112,107241.69,94559.28,M1501847786,0.0,0.0,0,0
249,CASH_OUT,257520.83,C322917682,29519.0,0.0,C987918392,0.0,257520.83,0,0
331,CASH_OUT,467650.97,C249730083,0.0,0.0,C1979272976,4084620.57,4552271.55,0,0
162,CASH_IN,95335.42,C1911577467,32980.39,128315.81,C1780194403,218321.07,122985.65,0,0
349,TRANSFER,287418.03,C1653727151,0.0,0.0,C1501325499,3306877.41,3594295.45,0,0
206,CASH_OUT,127846.92,C1562673924,152748.16,24901.24,C637016180,134408.52,262255.44,0,0
189,CASH_OUT,130516.04,C1693870161,29417.29,0.0,C2119930537,4613175.43,4743691.48,0,0
380,CASH_OUT,25839.47,C134541750,24275.0,0.0,C1315796314,0.0,25839.47,0,0
306,PAYMENT,1307.09,C1973220983,21551.0,20243.91,M536209699,0.0,0.0,0,0
327,CASH_OUT,183375.33,C462713817,0.0,0.0,C1479107288,1660258.96,1843634.29,0,0
331,PAYMENT,16235.57,C859512467,340527.54,324291.96,M2009999334,0.0,0.0,0,0
204,CASH_OUT,45782.26,C1508362221,107439.0,61656.74,C1219520650,36592.07,82374.32,0,0
47,CASH_OUT,147841.48,C1069112177,0.0,0.0,C503940936,480748.7,628590.18,0,0
226,CASH_OUT,370063.04,C1622040077,104017.0,0.0,C825054815,2795151.37,3165214.41,0,0
325,CASH_OUT,121464.92,C1235481618,31136.0,0.0,C2131020093,255102.51,110654.32,0,0
38,PAYMENT,2844.94,C1704149886,0.0,0.0,M1464107489,0.0,0.0,0,0
159,PAYMENT,2349.14,C650547360,0.0,0.0,M1877880433,0.0,0.0,0,0
11,PAYMENT,21523.8,C934841691,0.0,0.0,M411606102,0.0,0.0,0,0
180,CASH_IN,180386.18,C444290362,298943.0,479329.18,C1701116785,491914.58,311528.4,0,0
594,CASH_IN,355077.74,C1007415518,0.0,355077.74,C686904438,3149408.32,2794330.58,0,0
260,CASH_OUT,56484.74,C514434854,108808.27,52323.54,C1395177907,325148.88,381633.61,0,0
328,CASH_OUT,156982.18,C1371119283,0.0,0.0,C1092510151,1164348.64,1321330.82,0,0
330,CASH_OUT,213669.94,C1709880324,0.0,0.0,C263505604,1160196.53,1373866.47,0,0
204,CASH_IN,46076.1,C2145681416,2941.0,49017.1,C1750823278,961729.2,915653.1,0,0
177,CASH_IN,104541.71,C1573046247,1652511.23,1757052.94,C1963218058,1195506.88,1090965.18,0,0
355,TRANSFER,183845.3,C1934855438,0.0,0.0,C635853213,216918.52,400763.82,0,0
229,CASH_OUT,143332.0,C159990458,143332.0,0.0,C1025108799,482652.15,716367.34,1,0
19,CASH_OUT,90916.46,C245331133,214963.26,124046.8,C1679897741,0.0,90916.46,0,0
181,PAYMENT,8520.64,C1146018228,70116.0,61595.36,M684248403,0.0,0.0,0,0
