step,transactions,fraud_transactions,fraud_rate,total_amount,avg_amount
227,30871,14,0.0004535000485892909,6004298462.84,194496.4031887532
228,30965,16,0.000516712417245277,5912909516.1,190954.6105635395
229,28304,8,0.0002826455624646693,5042346774.47,178149.61752649804
230,26034,17,0.0006529922409157255,4431692044.84,170227.0893769686
231,26968,17,0.0006303767428062889,4651274087.59,172473.82407260456
232,27482,10,0.0003638745360599665,4836628260.07,175992.58642274942
233,14703,12,0.0008161599673536013,2401809316.28,163355.05109705502
234,34053,14,0.0004111238363727131,5373207185.74,157789.53941620415
235,47491,10,0.00021056621254553494,7298145078.92,153674.27678760188
236,37109,10,0.0002694764073405373,4564006648.72,122989.21147753915
237,16003,12,0.0007498594013622446,1868247705.8,116743.59218896457
238,10920,14,0.001282051282051282,1211714724.47,110962.88685622711
239,8554,10,0.0011690437222352116,931485164.92,108894.68844049567
240,4189,14,0.0033420864168059203,459973475.4,109805.07887323943
241,1865,18,0.0096514745308311,180380700.47,96718.87424664879
242,637,8,0.012558869701726845,65930719.52,103501.91447409734
243,8,8,1.0,16247876.120000001,2030984.5150000001
244,12,12,1.0,27299325.08,2274943.7566666664
245,4,4,1.0,1624691.7799999998,406172.94499999995
246,4,4,1.0,1692137.58,423034.395
247,8,8,1.0,6475558.04,809444.755
248,10,10,1.0,28243774.7,2824377.4699999997
249,23209,28,0.001206428540652333,3792800922.78,163419.4029376535
250,31854,22,0.0006906510956237835,6326260900.29,198601.77372669053
251,35269,10,0.0002835351158240948,5771315721.23,163637.06714763673
252,35590,2,5.6195560550716494e-05,5854918089.56,164510.20201067717
253,33311,10,0.0003002011347602894,5942227724.38,178386.35058629283
254,29553,10,0.000338375122660982,4521637821.26,153000.9752397388
255,28840,8,0.00027739251040221914,3974800979.95,137822.5027721914
256,28570,8,0.000280014000700035,3918809333.85,137165.18494399718
257,26843,6,0.00022352196103267146,3605125811.29,134304.1318515069
258,27662,8,0.0002892054081411322,3583780336.6,129556.08186682091
259,43328,10,0.00023079763663220087,5076897554.77,117173.59570647158
260,33674,12,0.00035635802102512324,3787449731.79,112474.00759606819
261,14420,20,0.0013869625520110957,1569022159.21,108808.74890499307
262,11125,22,0.0019775280898876404,1221492417.02,109797.07119280899
263,8021,6,0.0007480364044383493,685238193.2,85430.5190375265
264,4042,8,0.0019792182088075212,368989231.13,91288.77563829787
265,1581,12,0.007590132827324478,144773162.36,91570.62767868438
266,767,10,0.01303780964797914,105005135.03,136903.69625814864
267,77,8,0.1038961038961039,54389457.77,706356.5944155845
268,6,6,1.0,8090414.72,1348402.4533333334
269,14,14,1.0,30786900.72,2199064.3371428573
270,16,16,1.0,7453709.26,465856.82875
271,12,12,1.0,21611875.28,1800989.6066666667
272,12,12,1.0,14762929.3,1230244.1083333334
273,7871,20,0.002540973192732817,1057528069.92,134357.52381145977
274,19202,20,0.0010415581710238517,2826244635.49,147184.90967034682
275,24797,10,0.000403274589668105,3508304287.57,141480.99720006454
276,26383,10,0.0003790319523935868,4412622274.43,167252.48358526325
277,25925,14,0.0005400192864030858,4044242654.87,155997.78803741562
278,25737,4,0.00015541826941757004,4022655172.18,156298.52633096318
279,25925,22,0.0008486017357762777,4231256216.76,163211.42591166828
280,25956,4,0.0001541069502234551,4068126710.03,156731.65010132533
281,27778,18,0.0006479948160414716,4504317592.53,162154.1360979912
282,31118,18,0.000578443344687962,5081155730.24,163286.7064155794
283,36644,8,0.00021831677764436196,6258571159.98,170793.88603809627
284,33449,16,0.0004783401596460283,5923047332.08,177076.96290113305
285,14266,16,0.0011215477358755082,2842978700.69,199283.52030632272
286,11333,8,0.000705903114797494,2435387156.5,214893.42243889527
287,6889,10,0.0014515894904920889,1444658464.92,209705.1045028306
288,4018,10,0.0024888003982080635,940528731.73,234078.82820557492
289,1437,12,0.008350730688935281,200942836.62,139834.9593736952
290,487,8,0.01642710472279261,52148206.04,107080.50521560575
291,44,10,0.22727272727272727,55410020.12,1259318.639090909
292,8,8,1.0,6010883.12,751360.39
293,4,4,1.0,1529597.5,382399.375
294,18,18,1.0,26816796.080000002,1489822.0044444446
295,10,10,1.0,13248845.16,1324884.516
296,22,22,1.0,49873410.0,2266973.1818181816
297,20609,8,0.00038817992139356593,6011228116.56,291679.75722063176
298,29579,4,0.00013523107610128807,9417978632.75,318400.8463014301
299,31940,10,0.00031308703819661864,8851568808.7,277131.14617094555
300,31176,8,0.00025660764690787786,9602057363.44,307995.16818835004
301,30881,4,0.00012952948414882937,8875641423.12,287414.3137566789
302,29127,8,0.00027465925086689325,9284963497.21,318775.13980876846
303,24714,14,0.0005664805373472526,11724714959.12,474415.9164489763
304,26697,2,7.491478443270779e-05,24963550343.94,935069.4963456568
305,34595,14,0.0004046827576239341,19005246565.95,549363.9706879607
306,43615,12,0.00027513470136420956,7955426526.72,182401.1584711682
307,46968,16,0.00034065746891500596,8512005039.48,181229.8807588145
308,36983,6,0.00016223670335018792,6343967072.68,171537.38400562422
309,15147,8,0.0005281573909024889,2901153885.82,191533.23336766358
310,11393,10,0.0008777319406653208,2351222355.06,206374.29606424997
311,9863,16,0.0016222244753117713,1843736745.94,186934.67970597182
312,3266,10,0.003061849357011635,622626160.82,190638.751016534
313,1305,10,0.007662835249042145,264148736.08,202412.8245823755
314,512,6,0.01171875,70940145.76,138554.9721875
315,12,12,1.0,33201719.299999997,2766809.9416666664
316,12,12,1.0,9279425.26,773285.4383333334
317,20,20,1.0,6354087.94,317704.397
318,6,6,1.0,3384709.38,564118.23
319,8,8,1.0,12220382.46,1527547.8075
320,14,14,1.0,20764447.78,1483174.8414285716
321,17768,8,0.00045024763619990995,4616167707.85,259802.32484522738
322,27147,16,0.0005893837256418758,7614594107.81,280494.8652819833
323,29884,10,0.00033462722527104807,7861111520.1,263054.1935517334
324,29430,10,0.0003397893306150187,7306624172.49,248271.2936625892
325,27901,10,0.00035841009282821406,7416314396.78,265808.193139314
326,26655,14,0.0005252297880322641,8548289956.85,320701.18014818983
327,25183,10,0.0003970932772108168,14324072141.33,568799.2749604892
328,26877,18,0.0006697176024109834,11647709104.03,433370.8785961975
329,32161,6,0.00018656136314169336,6102660553.07,189753.44526196324
330,36682,10,0.0002726132708140232,5933645454.24,161759.0495131127
331,40186,6,0.00014930572836311154,6407948389.01,159457.23358906087
332,36156,6,0.00016594756057085962,5232580956.62,144722.34087343732
333,14553,8,0.0005497148354291211,2519375123.84,173117.23519824093
334,12016,4,0.00033288948069241014,1965439321.87,163568.51879743673
335,10456,4,0.00038255547054322876,1650698226.65,157870.909205241
336,2932,18,0.006139154160982265,469835508.28,160244.03420190996
337,320,10,0.03125,37511725.73,117224.14290625
338,529,4,0.007561436672967864,54096226.839999996,102261.2983742911
339,10,10,1.0,4839777.76,483977.77599999995
340,10,10,1.0,20576578.259999998,2057657.826
341,10,10,1.0,9681273.68,968127.368
342,14,14,1.0,2872763.5,205197.39285714287
343,12,12,1.0,5299923.58,441660.29833333334
344,6,6,1.0,5246154.58,874359.0966666667
345,14670,12,0.0008179959100204499,3775109118.91,257335.31826244036
346,26073,6,0.00023012311586698885,5826660716.37,223474.88652514096
347,30222,0,0.0,6964456131.76,230443.2576189531
348,29467,8,0.00027149014151423625,7929207505.03,269087.7084545424
349,29552,18,0.0006090958310774228,5701716349.72,192938.42547780185
350,28245,14,0.0004956629491945477,5640295178.53,199691.81017985483
351,26927,18,0.0006684740223567423,5172213957.19,192082.8149140268
352,27139,16,0.0005895574634290136,5047833554.76,185999.2466472604
353,30420,8,0.00026298487836949375,6779388634.99,222859.58694904667
354,40696,12,0.00029486927462158444,6965215256.25,171152.33084946923
355,44787,8,0.00017862326121419162,7234253609.7,161525.74652689396
356,33528,6,0.00017895490336435218,4693535568.26,139988.53400918635
357,15096,18,0.0011923688394276629,2291105832.49,151769.06680511392
358,12050,10,0.0008298755186721991,1754502433.76,145601.86172282157
359,7991,12,0.0015016894005756476,1081719923.47,135367.27862219998
360,3508,8,0.002280501710376283,475026460.95,135412.33208380843
361,1441,14,0.009715475364330326,170127306.87,118061.97562109647
362,504,20,0.03968253968253968,120469553.48,239026.89182539683
363,14,14,1.0,38027813.68,2716272.4057142856
364,6,6,1.0,7708375.62,1284729.27
365,14,14,1.0,18737996.099999998,1338428.2928571426
366,10,10,1.0,23250735.88,2325073.588
367,14,14,1.0,6965470.32,497533.5942857143
368,6,6,1.0,2900938.6799999997,483489.77999999997
369,14490,6,0.00041407867494824016,3283341857.45,226593.6409558316
370,25429,18,0.0007078532384285658,6337254252.83,249213.66364505092
371,28388,6,0.00021135691137100183,5968864151.18,210260.11523108356
372,29515,8,0.0002710486193460952,5506549073.95,186567.81548195833
373,28853,12,0.00041590129275985167,5407533849.39,187416.6932169965
374,27727,14,0.0005049229992426155,5003598395.76,180459.42207090562
375,26103,10,0.0003830977282304716,5510846318.73,211119.270533272
376,20122,4,0.00019878739687903787,6138973352.87,305087.63308170164
377,18183,10,0.000549964252323599,2963739223.12,162995.06259253147
378,37127,4,0.00010773830366040886,5531479167.98,148988.04557276375
379,41759,16,0.00038315093752245026,5847754144.07,140035.78016882588
380,37693,14,0.00037142174939643963,4803245990.13,127430.71631682276
381,14961,4,0.0002673618073658178,2043308095.19,136575.63633380123
382,11829,8,0.0006763039986473921,1657430074.48,140115.8233561586
383,7818,14,0.0017907393195190585,1055020916.85,134947.6741941673
384,3588,6,0.0016722408026755853,443414417.79,123582.61365384616
385,1419,8,0.005637773079633545,142296140.07,100279.16847780126
386,633,16,0.02527646129541864,131912135.28,208391.99886255924
387,28,28,1.0,147237648.39,5258487.4425
388,18,18,1.0,34064057.06,1892447.6144444447
389,10,10,1.0,25595859.9,2559585.9899999998
390,12,12,1.0,17235988.42,1436332.3683333334
391,12,12,1.0,13642966.84,1136913.9033333333
392,10,10,1.0,7935358.76,793535.8759999999
393,19269,4,0.00020758731641496705,4577025882.6,237533.13003269501
394,28959,10,0.00034531579129113576,6433780283.85,222168.5929710971
395,22797,8,0.00035092336710970743,3912610392.82,171628.30165460368
396,34075,8,0.00023477622890682317,6436763739.34,188899.88963580338
397,30348,10,0.0003295110056675893,5915512509.77,194922.64761335182
398,26656,26,0.0009753901560624249,5024591202.61,188497.5691255252
399,30223,12,0.00039704860536677363,5917459225.07,195793.24438573272
400,30910,16,0.000517631834357813,5608205263.28,181436.59861792298
401,33468,16,0.0004780686028445082,5718920109.12,170877.25914664753
402,40218,12,0.0002983738624496494,6596385476.64,164015.75107265403
403,45155,16,0.00035433506809877093,6746761157.95,149413.37964677223
404,36726,18,0.000490115994118608,4862065083.49,132387.54788133746
405,16604,10,0.0006022645145748012,2252761583.91,135675.83617863164
406,12023,24,0.001996173999833652,1737107629.18,144482.04517840807
407,7937,6,0.0007559531309058839,970894107.08,122325.07333753307
408,8256,10,0.0012112403100775194,1019370201.37,123470.22787911822
409,483,20,0.041407867494824016,124249603.63,257245.55616977226
410,20,20,1.0,28815915.8,1440795.79
411,16,16,1.0,44434467.26,2777154.20375
412,8,8,1.0,6931488.54,866436.0675
413,289,14,0.04844290657439446,56035634.04,193894.92747404845
414,16,16,1.0,40395346.04,2524709.1275
415,16,16,1.0,11738866.76,733679.1725
416,2182,8,0.0036663611365719525,345168018.54,158188.8260953254
417,6,6,1.0,6632519.28,1105419.8800000001
418,6,6,1.0,2758272.86,459712.1433333333
419,1257,10,0.007955449482895784,193638577.05,154048.19176610978
420,2620,12,0.004580152671755725,516175683.2,197013.61954198472
421,14,14,1.0,54903247.38,3921660.527142857
422,1259,10,0.007942811755361398,243906571.78,193730.39855440825
423,766,6,0.007832898172323759,121423443.11,158516.2442689295
424,14,14,1.0,23591968.12,1685140.58
425,28,28,1.0,110298471.23,3939231.115357143
426,5139,2,0.0003891807744697412,888380417.69,172870.2894901732
427,14,14,1.0,22280093.62,1591435.2585714287
428,2792,6,0.002148997134670487,369181208.02,132228.22636819482
429,2357,4,0.0016970725498515061,306539468.2,130054.92923207466
430,8,8,1.0,13356935.2,1669616.9
431,1685,6,0.0035608308605341245,176579531.52,104794.9741958457
432,4,4,1.0,4115551.48,1028887.87
433,6,6,1.0,3740353.9,623392.3166666667
434,8,8,1.0,15066379.4,1883297.425
435,4,4,1.0,3018541.02,754635.255
436,248,16,0.06451612903225806,57243868.85,230822.05181451613
437,16,16,1.0,24046445.4,1502902.8375
438,12,12,1.0,13988340.3,1165695.0250000001
439,883,12,0.013590033975084938,90178693.02,102127.6251642129
440,18,18,1.0,106424896.32,5912494.239999999
441,10,10,1.0,16704956.4,1670495.6400000001
442,1222,12,0.009819967266775777,150273831.39,122973.67544189852
443,10,10,1.0,9883266.22,988326.6220000001
444,20,20,1.0,55929981.0,2796499.05
445,64,6,0.09375,20604103.080000002,321939.11062500003
446,12,12,1.0,23247205.759999998,1937267.1466666665
447,10,10,1.0,17027129.52,1702712.952
448,2548,6,0.002354788069073783,382255817.02,150021.9062087912
449,1194,6,0.005025125628140704,168249336.65,140912.34225293132
450,16,16,1.0,42903268.1,2681454.25625
451,3751,4,0.0010663822980538523,523928034.91,139676.8954705412
452,308,10,0.032467532467532464,62669683.02,203472.99681818183
453,59,8,0.13559322033898305,20125779.259999998,341114.9027118644
454,39,6,0.15384615384615385,13318758.34,341506.6241025641
455,824,10,0.012135922330097087,84116910.54,102083.62929611652
456,18,18,1.0,31949963.72,1774997.9844444443
457,10,10,1.0,4996140.54,499614.054
458,438,6,0.0136986301369863,40738860.82,93011.09776255708
459,8,8,1.0,2962101.96,370262.745
460,59,16,0.2711864406779661,21889297.82,371005.04779661016
461,83,16,0.1927710843373494,38674234.93,465954.63771084335
462,16,16,1.0,12933930.56,808370.66
463,10,10,1.0,15575691.76,1557569.176
464,16,16,1.0,19647849.88,1227990.6175
465,12,12,1.0,20195821.5,1682985.125
466,984,6,0.006097560975609756,165540424.33,168232.13854674797
467,12,12,1.0,6673898.26,556158.1883333334
468,12,12,1.0,8427756.38,702313.0316666667
469,6016,8,0.0013297872340425532,1128548350.45,187591.14867852395
470,12,12,1.0,13929861.700000001,1160821.8083333333
471,2620,2,0.0007633587786259542,479065942.25,182849.59627862595
472,84,8,0.09523809523809523,50577039.29,602107.610595238
473,10,10,1.0,1423133.56,142313.356
474,2728,8,0.002932551319648094,578338723.62,212000.99839442814
475,14,14,1.0,4167837.46,297702.6757142857
476,3755,8,0.0021304926764314247,593405934.91,158030.8748095872
477,10,10,1.0,38321192.76,3832119.2759999996
478,1908,6,0.0031446540880503146,249631132.25,130833.9267557652
479,904,4,0.004424778761061947,98762802.43,109250.88764380531
480,6,6,1.0,1945259.1,324209.85000000003
481,14,14,1.0,7476067.6,534004.8285714285
482,16,16,1.0,7618253.760000001,476140.86000000004
483,317,8,0.025236593059936908,63937791.88,201696.5043533123
484,6,6,1.0,501135.22,83522.53666666667
485,12,12,1.0,16670389.879999999,1389199.1566666665
486,8,8,1.0,12307851.5,1538481.4375
487,912,14,0.015350877192982455,112818882.03,123704.91450657895
488,8,8,1.0,11535648.86,1441956.1075
489,14,14,1.0,20060606.22,1432900.4442857143
490,3820,10,0.002617801047120419,770912131.67,201809.45855235602
491,12,12,1.0,9649155.4,804096.2833333333
